"district","LID","sen_slope","sen_signif","n_lakes"
"Masterton (Wellington)","2549",0.496868917483633,0.348082623632924,10
"Masterton (Wellington)","381",-0.365091176655,0.602167527748196,10
"Masterton (Wellington)","4343",0.0393469205932514,0.754454177494089,10
"Masterton (Wellington)","4345",0.204547348067817,0.251452186508022,10
"Masterton (Wellington)","476",-0.15386184851033,0.710523022916489,10
"Masterton (Wellington)","831",0.384184406018404,0.117850895021365,10
"Masterton (Wellington)","841",0.347038106850002,0.0164886567276701,10
"Masterton (Wellington)","843",0.396901732671049,0.0476039547278715,10
"Masterton (Wellington)","847",0.289615203316944,0.0763327403763572,10
"Milford Sound (Southland)","29490",-0.124161821219638,0.916965236628864,95
"Milford Sound (Southland)","29748",-0.264067908675719,0.348082623632924,95
"Milford Sound (Southland)","29847",-0.390176905830332,0.348082623632924,95
"Milford Sound (Southland)","45296",-0.161861243748602,0.251452186508022,95
"Milford Sound (Southland)","45301",-0.312229142406177,0.602167527748196,95
"Milford Sound (Southland)","45302",0.196019179121154,0.602167527748196,95
"Milford Sound (Southland)","45334",-0.597157033082111,0.251452186508022,95
"Milford Sound (Southland)","45338",-0.519310903366125,0.348082623632924,95
"Milford Sound (Southland)","45356",-0.271958160760037,0.465512169874187,95
"Milford Sound (Southland)","45924",0.178369425546203,0.754454177494089,95
"Milford Sound (Southland)","46043",-0.494901569479371,0.0476039547278715,95
"Milford Sound (Southland)","46047",-0.0150650674613068,1,95
"Milford Sound (Southland)","46090",-0.857430545491506,0.348082623632924,95
"Milford Sound (Southland)","46131",0.0830884858205846,0.916965236628864,95
"Milford Sound (Southland)","46132",-0.0444119315208565,0.916965236628864,95
"Milford Sound (Southland)","46140",-0.365390988643353,0.602167527748196,95
"Milford Sound (Southland)","46141",-0.245765784612166,0.0763327403763572,95
"Milford Sound (Southland)","46160",-0.4330493170217,0.348082623632924,95
"Milford Sound (Southland)","47067",-0.199864636423832,0.602167527748196,95
"Milford Sound (Southland)","50629",-0.318068435815806,0.251452186508022,95
"Milford Sound (Southland)","51747",0.0341964178237712,0.754454177494089,95
"Milford Sound (Southland)","51751",0.0877293839496207,0.916965236628864,95
"Milford Sound (Southland)","51754",0.169870700181165,0.602167527748196,95
"Milford Sound (Southland)","51822",-0.408413498118752,0.175308080808274,95
"Milford Sound (Southland)","51823",0.130238075445538,0.754454177494089,95
"Milford Sound (Southland)","51826",0.206920333913942,0.602167527748196,95
"Milford Sound (Southland)","51837",0.491844984555039,0.465512169874187,95
"Milford Sound (Southland)","51838",0.269282124698287,0.602167527748196,95
"Milford Sound (Southland)","51850",0.316039979230233,0.348082623632924,95
"Milford Sound (Southland)","51859",0.00309731783082771,1,95
"Milford Sound (Southland)","51940",0.0263487616874398,0.916965236628864,95
"Milford Sound (Southland)","51958",0.274390431474956,0.602167527748196,95
"Milford Sound (Southland)","51985",0.161581348786739,0.348082623632924,95
"Milford Sound (Southland)","52065",-0.123954999921658,0.602167527748196,95
"Milford Sound (Southland)","52138",-0.862644255940955,0.0164886567276701,95
"Milford Sound (Southland)","52144",-0.483606664033817,0.602167527748196,95
"Milford Sound (Southland)","52147",-0.0417041926354944,1,95
"Milford Sound (Southland)","52148",-0.120334450584781,0.916965236628864,95
"Milford Sound (Southland)","52167",0.0662713707007049,0.916965236628864,95
"Milford Sound (Southland)","52177",-0.401763560701069,0.175308080808274,95
"Milford Sound (Southland)","52181",0.113615533023421,0.602167527748196,95
"Milford Sound (Southland)","52190",-0.1407695730189,0.916965236628864,95
"Milford Sound (Southland)","52221",0.309386366341106,0.251452186508022,95
"Milford Sound (Southland)","52235",0.243799229015004,0.465512169874187,95
"Milford Sound (Southland)","52240",0.102292319669906,0.465512169874187,95
"Milford Sound (Southland)","52243",0.099506398350859,0.348082623632924,95
"Milford Sound (Southland)","52268",-0.216578186342474,0.465512169874187,95
"Milford Sound (Southland)","52274",0.190751297932323,0.754454177494089,95
"Milford Sound (Southland)","52292",-0.255201630056584,0.348082623632924,95
"Milford Sound (Southland)","52380",-0.442787295097163,0.117850895021365,95
"Milford Sound (Southland)","52389",-0.356762680696678,0.117850895021365,95
"Milford Sound (Southland)","52393",-0.322693517753711,0.175308080808274,95
"Milford Sound (Southland)","52397",0.0581793866362451,0.916965236628864,95
"Milford Sound (Southland)","52474",-0.415913477129525,0.251452186508022,95
"Milford Sound (Southland)","52475",-0.0806700569611764,0.916965236628864,95
"Milford Sound (Southland)","52566",0.0216985036953315,0.602167527748196,95
"Milford Sound (Southland)","52576",-0.696103779369489,0.0763327403763572,95
"Milford Sound (Southland)","52585",0.0617451686893494,0.916965236628864,95
"Milford Sound (Southland)","52592",0.0488868556621369,0.754454177494089,95
"Milford Sound (Southland)","52613",-0.174949306119315,0.602167527748196,95
"Milford Sound (Southland)","52617",0.126743189220305,0.602167527748196,95
"Milford Sound (Southland)","52641",-0.184128174808244,0.465512169874187,95
"Milford Sound (Southland)","52660",-0.376258744362623,0.175308080808274,95
"Milford Sound (Southland)","52666",0.2927519349479,0.348082623632924,95
"Milford Sound (Southland)","52697",-0.0951062814865858,0.916965236628864,95
"Milford Sound (Southland)","52722",-0.0126672522247797,1,95
"Milford Sound (Southland)","52731",-0.170509515919161,0.348082623632924,95
"Milford Sound (Southland)","52740",-0.0803808426508218,0.754454177494089,95
"Milford Sound (Southland)","52751",0.346688698739767,0.348082623632924,95
"Milford Sound (Southland)","52875",0.29351853394495,0.465512169874187,95
"Milford Sound (Southland)","52878",-0.55209393839829,0.0763327403763572,95
"Milford Sound (Southland)","52884",0.300331402889187,0.348082623632924,95
"Milford Sound (Southland)","52906",-0.24766594419194,0.117850895021365,95
"Milford Sound (Southland)","52927",-0.230769927509717,0.754454177494089,95
"Milford Sound (Southland)","52938",-1.24885223352241,0.0763327403763572,95
"Milford Sound (Southland)","52954",-0.134846161458617,0.536186771900174,95
"Milford Sound (Southland)","52960",0.232436828772175,0.175308080808274,95
"Milford Sound (Southland)","52992",-0.0584714469219619,0.916965236628864,95
"Milford Sound (Southland)","53025",0.0383494040887415,0.916965236628864,95
"Milford Sound (Southland)","53033",-0.240933161710675,0.465512169874187,95
"Milford Sound (Southland)","53048",-0.214732290746463,0.465512169874187,95
"Milford Sound (Southland)","53062",0.0853766902193301,0.916965236628864,95
"Milford Sound (Southland)","53109",0.0757631537632309,0.602167527748196,95
"Milford Sound (Southland)","53177",-0.110346256482319,0.465512169874187,95
"Milford Sound (Southland)","53851",0.0826558522141241,0.916965236628864,95
"Milford Sound (Southland)","53872",-0.0042564273759067,1,95
"Milford Sound (Southland)","53877",0.0736863050916384,0.602167527748196,95
"Milford Sound (Southland)","53886",-0.236317187052278,0.602167527748196,95
"Milford Sound (Southland)","54025",0.503138567794302,0.465512169874187,95
"Milford Sound (Southland)","54132",0.0392938468242424,0.754454177494089,95
"Milford Sound (Southland)","54141",-0.231602861345377,0.348082623632924,95
"Milford Sound (Southland)","54356",0.109148193243242,0.754454177494089,95
"Milford Sound (Southland)","54435",0.198424687191389,0.465512169874187,95
"Milford Sound (Southland)","54561",-0.0333371719731808,0.754454177494089,95
"Milford Sound (Southland)","54735",0.0358366652186885,1,95
"Napier (Hawke's Bay)","32427",0.284852129299498,0.175308080808274,16
"Napier (Hawke's Bay)","32478",0.741612645431234,0.0490979816092656,16
"Napier (Hawke's Bay)","35422",0.353031186567818,0.175308080808274,16
