"date","LID","Name","LST","year"
2003-08-12,"43639","Lake Brunton",3.58475211893892,2003
2001-06-10,"52422","0",0.983417841685707,2001
2008-08-09,"44747","Tomahawk Lagoon",3.37459795076637,2008
2000-05-08,"47892","Lake Heron",7.50869288573597,2000
2014-07-02,"48663","Lake Grasmere",2.63779000821626,2014
2013-06-06,"48177","Lake Ellesmere (Te Waihora)",6.70610104201097,2013
2021-05-25,"12307","Lake Waitaki",6.2115731698031,2021
2000-05-08,"48663","Lake Grasmere",9.44645239174594,2000
2008-08-18,"44746","Tomahawk Lagoon",3.42411685043766,2008
2022-10-06,"24969","Cobb Reservoir",7.25742927485015,2022
2015-07-12,"39226","Lake Ahaura",6.4995746985611,2015
2008-08-18,"44747","Tomahawk Lagoon",3.57076756541341,2008
2013-09-17,"47228","Lake Tekapo",7.3585527846206,2013
2009-06-04,"1","Lake Onoke",7.00762950344756,2009
2001-06-30,"4345","Lake Horowhenua",7.91737852950865,2001
2019-08-19,"32805","Hatuma Lake",6.92038738610938,2019
2009-09-04,"53163","Lake Von River Valley",3.99730551424909,2009
2020-07-16,"52194","0",1.45856052063698,2020
2015-07-12,"46954","Alpine Lake/Ata Puai",6.69649344508548,2015
2001-06-30,"5014","Lake Kaikokopu",6.42606504436895,2001
2009-09-04,"52660","Lake Ogle",1.70506365123691,2009
2018-06-02,"38974","Lake Brunner / Moana",7.69029597964902,2018
2021-07-03,"30380","Lake Rakatu",4.7488352712619,2021
2014-07-16,"54050","Glenorchy Lagoon",1.06318221032581,2014
2018-09-06,"1553","Lake Onslow",5.00490477801378,2018
2010-08-10,"37607","Ohuia Lagoon",8.86962885869957,2010
2010-08-10,"36314","Kautuku Swamp",8.99533230217622,2010
2001-07-05,"46725","Lake Paringa",5.28640085168843,2001
2020-09-11,"41299","Lake Emma",7.09372804129464,2020
2020-09-11,"41305","Lake Clearwater",7.51279475077069,2020
2014-07-16,"53020","0",2.05250934894889,2014
2020-09-11,"47193","Lake Alexandrina",5.73223639121971,2020
2019-04-18,"48374","0",1.43973145907677,2019
2021-08-20,"47067","Lake Alabaster",6.59305555766775,2021
2008-08-20,"1974","Lake Papaitonga",7.09372804129464,2008
2016-07-02,"34689","0",5.92684555765686,2016
2014-05-31,"48673","Lake Sarah",1.38014932596536,2014
2016-07-02,"37534","Lake Rotonuiaha",9.42157903540061,2016
2021-08-20,"28652","0",1.72907332799321,2021
2016-06-07,"32805","Hatuma Lake",6.11411675478718,2016
2014-05-31,"41305","Lake Clearwater",3.40495162674978,2014
2010-08-10,"40069","0",8.27130220619307,2010
2016-07-02,"36960","0",8.64095238301036,2016
2009-09-04,"30380","Lake Rakatu",6.46784717593255,2009
