"site","statistic","month","year","data_value","lat","lon","unit"
"Auckland","Days above p99",1,2000,0,-37.00813,174.78873,"Days"
"Auckland","Days above p99",1,2001,0,-37.00813,174.78873,"Days"
"Auckland","Days above p99",1,2002,0,-37.00813,174.78873,"Days"
"Auckland","Days above p99",1,2003,0,-37.00813,174.78873,"Days"
"Auckland","Days above p99",1,2004,0,-37.00813,174.78873,"Days"
"Auckland","Days above p99",1,2005,0,-37.00813,174.78873,"Days"
"Auckland","Days above p99",1,2006,1,-37.00813,174.78873,"Days"
"Auckland","Days above p99",1,2007,0,-37.00813,174.78873,"Days"
"Auckland","Days above p99",1,2008,0,-37.00813,174.78873,"Days"
"Auckland","Days above p99",1,2009,0,-37.00813,174.78873,"Days"
"Auckland","Days above p99",1,2010,0,-37.00813,174.78873,"Days"
"Auckland","Days above p99",1,2011,0,-37.00813,174.78873,"Days"
"Auckland","Days above p99",1,2012,0,-37.00813,174.78873,"Days"
"Auckland","Days above p99",1,2013,0,-37.00813,174.78873,"Days"
"Auckland","Days above p99",1,2014,0,-37.00813,174.78873,"Days"
"Auckland","Days above p99",1,2015,0,-37.00813,174.78873,"Days"
"Auckland","Days above p99",1,2016,0,-37.00813,174.78873,"Days"
"Auckland","Days above p99",1,2017,1,-37.00813,174.78873,"Days"
"Auckland","Days above p99",1,2018,1,-37.00813,174.78873,"Days"
