"LID","Type","State","PredictedValue","LowerCI","UpperCI"
"7689","Total Phosphorus","Reference",5.60084109824929,2.99389512808048,10.7968012331943
"7748","Total Nitrogen","Current",310.787505709538,212.539632887786,478.079292361704
"7748","Total Nitrogen","Reference",123.907435732491,62.8006735264306,218.811209800831
"7748","Total Phosphorus","Current",37.0591781796014,17.390720444498,69.786257598489
"7748","Total Phosphorus","Reference",6.29255962667276,3.62560951071041,11.2790938903186
"7777","Total Nitrogen","Current",163.554254353062,110.825744148798,239.734779070759
"7777","Total Nitrogen","Reference",146.090106152986,80.9101331843285,287.77573262354
"7777","Total Phosphorus","Current",15.6876845410797,7.46601603711431,33.3102663600503
"7777","Total Phosphorus","Reference",5.54970494812147,3.79042113402464,8.69846962447951
"7900","Total Nitrogen","Current",322.341303842568,219.066312491066,458.683225014891
"7900","Total Nitrogen","Reference",222.005603662804,115.907159070345,422.689734827258
"7900","Total Phosphorus","Current",41.7064089789078,17.4096023703478,93.3035581232553
"7900","Total Phosphorus","Reference",7.95763717404642,3.48829966141969,17.3620824188605
"7901","Total Nitrogen","Current",258.980886845227,170.991358806525,376.511881760904
"7901","Total Nitrogen","Reference",143.57694740966,73.2149738241583,248.90564986846
"7901","Total Phosphorus","Current",22.0952477812047,11.1122919863241,44.2944819805489
"7901","Total Phosphorus","Reference",5.42002568165533,3.19852016172853,9.44795627758197
"8158","Total Nitrogen","Current",1588.67208089908,1041.75617540504,2550.1712854412
"8158","Total Nitrogen","Reference",246.276248222022,113.696527006464,464.058309495254
"8158","Total Phosphorus","Current",110.406954434127,56.0093819060294,216.751166586619
"8158","Total Phosphorus","Reference",17.3819695115182,5.39079081103315,63.3382768037634
"8262","Total Nitrogen","Current",1732.36275554816,1126.52051388506,2630.25127345724
"8262","Total Nitrogen","Reference",365.238806945756,172.763814531482,732.844465019683
"8262","Total Phosphorus","Current",158.937938659334,81.0453242279238,291.821773174621
"8262","Total Phosphorus","Reference",21.0854264276401,4.34770880851952,121.033868929569
"8265","Total Nitrogen","Current",655.870429890917,451.470876226237,956.782088712881
"8265","Total Nitrogen","Reference",231.790341988562,118.778634980175,465.891237557291
"8265","Total Phosphorus","Current",78.846571210676,39.5522703154775,147.164796662603
"8265","Total Phosphorus","Reference",31.3265044272438,11.1888887352981,104.340162806044
"8890","Total Nitrogen","Current",261.016313474929,172.051582249669,378.982684706005
"8890","Total Nitrogen","Reference",157.508115299495,81.4383081131448,298.785616871702
"8890","Total Phosphorus","Current",29.7405082844239,12.4657713289543,60.1753319726143
"8890","Total Phosphorus","Reference",6.57787286281838,3.46999065885275,12.1795892505544
"9071","Total Nitrogen","Current",1073.42139839217,669.774080439436,1824.04497634586
"9071","Total Nitrogen","Reference",152.83493873453,80.674413448374,285.369432765265
"9071","Total Phosphorus","Current",25.1152356727,15.1467490842663,43.3793799784543
"9071","Total Phosphorus","Reference",5.73520681103112,3.59292218018734,10.2091631952992
"10124","Total Nitrogen","Current",1581.10705077151,1004.37037936737,2601.36865327445
"10124","Total Nitrogen","Reference",76.9660908445197,33.3050757039122,160.951873379333
"10124","Total Phosphorus","Current",11.3617693040474,5.22627801475175,25.5187421141969
"10124","Total Phosphorus","Reference",3.2890810470824,1.48261836737015,8.03221488958328
"10605","Total Nitrogen","Current",2195.16000439487,1207.19347307915,4136.23605013437
"10605","Total Nitrogen","Reference",315.019238778943,183.517680086362,664.179979906899
"10605","Total Phosphorus","Current",29.6083566972238,9.46210973591557,96.6725391776632
