LID,lat,MaxDepth,Catch_area,LakeAreaHa,LakeVolume,LakeElevat,SumWind,MeanWind,CatSlope,CatPhos,CatHard,lambda_dom_std,lambda_dom_median,lambda_dom_hidecile,purity_std,purity_median,chl_median,Name,TotalSUDensity,Prop_Dairy,PastureHeavy,Wetland,Forestry,PastureLight,Exotic,Native,Bare,Urban,Fetch_sqrt
25700,-41.4840184080812,2.91962,158501.5261554,1.00741,9804.16,0.94,3.73,3.32623,0.08,4.0,2.07,,,,,,, ,0.734036691214693,0.166081755721418,99.99999999799999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.491933384829668
25707,-41.5559929982606,3.25644,132263.2571513,1.98227,21517.1,8.92,4.2,3.85885,1.5,4.0,1.0,8.54930906577366,568.081824215915,573.995075511955,13.9002806501804,17.1922854544361,, ,0.0,0.0,26.63482181,73.36517819,0.0,0.0,0.0,0.0,0.0,0.0,15.491933384829668
25713,-41.543693372428,6.24046,20291236.5895517,2.28533,47538.3,1.08,3.77,3.42868,12.37,3.06,3.22,,,,,,, ,4.7572935670993,0.0,92.04283754299999,0.022313485,2.077411098,0.678037555,5.139845493,0.0,0.039554825,0.0,15.165750888103101
25715,-41.5362097177741,2.91962,222000.2064041,4.48013,43601.0,-0.07,3.72,3.38231,0.00782154,4.0,1.0,,,,,,58.8007133333333, ,0.0006572549539542,0.0,0.405844156,99.59415584,0.0,0.0,0.0,0.0,0.0,0.0,16.431676725154983
25718,-41.5331290899416,2.91962,162878.3561353,3.33521,32458.5,-0.04,3.81,3.47715,0.00822041,4.0,1.0,,,,,,, ,0.0,0.0,0.0,86.45755088,0.0,0.0,0.0,0.0,13.54244912,0.0,16.1245154965971
25728,-41.5318695716331,2.91962,247488.0270191,2.52994,24621.6,-0.00451315,3.9,3.556,0.0026604,4.0,1.0,,,,,,, ,0.0,0.0,0.0,91.894239427,0.0,0.0,0.0,0.0,8.105760576,0.0,18.439088914585774
25738,-41.5483073796067,2.91962,121526.8144372,1.62804,15844.2,5.28,4.81,4.49197,3.95,4.0,1.5,,,,,,, ,0.0,0.0,23.5494632,76.4505368,0.0,0.0,0.0,0.0,0.0,0.0,15.811388300841896
25739,-41.5496321764747,3.68468,152109.9326108,4.68769,57575.6,11.27,4.81,4.49197,5.35,4.0,1.55,,,,,,, ,0.0,0.0,26.66776641,73.33223359,0.0,0.0,0.0,0.0,0.0,0.0,17.60681686165901
25741,-41.5492258473823,6.42004,149053.8592978,3.0014,64230.3,5.52,4.87,4.5207,1.17,4.0,2.46,,,,,,56.6077062, ,0.0,0.0,36.28406474,34.10457616,0.0,20.81919085,0.0,0.295764349,8.496403898,0.0,16.1245154965971
25744,-41.5217192884927,2.91962,772025.8163075,3.52728,34327.7,-0.09,3.76,3.4289,0.00260594,4.0,1.0,,,,,,59.5437746666667, ,0.0209460325649958,0.0,4.44720341,95.552796593,0.0,0.0,0.0,0.0,0.0,0.0,17.029386365926403
25746,-41.5175501134876,2.91962,512265.2295028,4.80958,46807.2,-0.04,3.84,3.50038,0.00548834,4.0,1.0,,,,,,32.9153302666667, ,0.06344013811802,0.0,17.29826179,80.60339315,0.0,0.0,0.0,0.0,2.098345055,0.0,19.235384061671343
25748,-40.6499575111365,9.69608,2832696.237416,15.2705,493547.0,14.32,4.63,4.47266,7.58,1.39,3.33,21.0580455306603,562.373579862618,569.36724628311,19.2891061567618,21.054866832283,8.22399169566545, ,0.0,0.0,0.0,9.83802361,0.0,0.0,0.0,90.16197639,0.0,0.0,27.2213151776324
25750,-40.6444576206633,0.0,2177847.2188869,2.0102,19510.7,19.8,0.0,4.45197,0.0,0.0,0.0,,,,,,, ,1.60738461607312,0.0,5.753849032,14.762558011,0.0,0.712599958,0.0,78.770993001,0.0,0.0,0.0
25751,-40.6441163009292,6.38858,513459.3003154,1.62913,34692.8,18.36,4.63,4.45197,15.05,1.59,3.89,,,,,,, ,0.0,0.0,0.0,2.639439233,0.0,0.0,0.0,97.36056076999999,0.0,0.0,14.142135623730951
25765,-40.7677300134365,26.7094999999999,1937193.394319,17.3189,1541930.0,257.57,4.09,4.0179,8.3,1.27,4.0,21.6601676663803,562.367769117922,572.399762515523,19.0631621812344,25.4697215825025,7.28928133333334,Druggans Dam,0.0,0.0,0.0,1.640839336,0.0,0.0,0.0,98.35916066,0.0,0.0,24.73863375370596
25767,-40.7909360676558,22.4603,5659071.141425,2.02797,151829.0,258.43,4.01,3.99007,20.58,2.79,4.0,,,,,,, ,0.0,0.0,0.0,0.0,0.0,0.0,0.230279043,99.76972095800001,0.0,0.0,21.6794833886788
25770,-40.7418704445041,25.7755,342571.5057069,1.25902,108173.0,76.03,3.94,3.7445,10.41,1.0,4.0,,,,,,, ,8.01081799492668,0.977508061992299,22.51264992,0.0,0.0,9.916976614,0.0,67.570373467,0.0,0.0,21.6794833886788
25782,-40.6834035751745,4.53891,4686758.5227145,4.26932,64593.5,3.35,4.28,4.05909,2.14,1.19,1.19,,,,,,, ,13.7742855132307,0.735410541001088,87.601032145,0.097278583,5.240954067,0.0,0.0,7.060735200999999,0.0,0.0,28.19574435974337
25787,-40.6184355400482,7.4395,3718382.6118173,4.47336,110932.0,9.62,4.93,4.8423,12.32,1.0,3.63,,,,,,, ,0.0,0.0,0.0,26.171457442,0.0,0.0,0.0,73.82854255599999,0.0,0.0,20.73644135332772
25788,-40.5965333706952,8.06509999999999,116785.5783543,1.34044,36036.0,13.92,5.02,4.93082,1.41,2.97,4.0,,,,,,, ,8.27412247627811,0.906363551663095,66.43287516,0.0,0.0,0.0,0.0,33.567124834,0.0,0.0,17.320508075688775
25789,-40.5537473109498,15.9891,544518.88595,5.27724,281261.0,52.35,5.4,5.34725,5.91,1.55,4.0,4.88703365464495,576.569287637305,580.346394795158,15.2035372120519,51.0208607812328,4.498625,Kaihoka Lakes,4.70736175502776,0.0,0.0,0.0,0.0,42.8658842,0.0,57.1341158,0.0,0.0,20.0
25790,-40.5550318972731,11.5024,317449.7319166,6.75698,259070.0,37.47,5.4,5.3488,4.71,1.28,4.0,18.2867597950413,566.569609305274,573.661770027303,16.0367799317335,36.0878420412502,4.54767681422817,Kaihoka Lakes,5.44675278312251,0.0,0.0,0.0,0.0,51.19863535,0.0,48.80136465,0.0,0.0,20.248456731316587
25802,-40.5110088575947,5.95278,1232264.4256991,2.09323,41535.0,17.67,5.81,5.83275,8.93,1.0,4.0,8.55025770428282,563.621948402003,568.91782024295,14.1588747836554,22.080560305401,30.9483965, ,4.10414297018919,0.0,29.18615102,0.06844315,0.0,0.0,0.0,68.509483722,2.235922105,0.0,18.708286933869708
25803,-40.5095536557931,8.62590999999999,213373.0270185,2.90853,83628.9,37.11,5.82,5.84612,5.95,1.93,4.0,36.7903563098728,569.421118099673,583.025771862783,13.2484081905281,12.374680511522,, ,0.0,0.0,73.12119667,0.0,0.0,0.0,0.0,26.878803332000004,0.0,0.0,17.029386365926403
25805,-40.5139345424248,6.98407,378084.4937896,1.84453,42941.1,12.47,5.79,5.74172,5.69,2.1,4.0,,,,,,, ,0.0,0.0,80.3240106,2.259277031,0.0,0.0,0.0,17.41671237,0.0,0.0,19.493588689617926
25813,-40.5123046089402,3.60526,821207.9672727,3.99031,47953.8,9.33,5.87,5.7627,0.62,3.0,4.0,,,,,,, ,0.0,0.0,0.0,14.10225771,0.0,14.44224358,0.0,8.798316003,62.65718271,0.0,21.213203435596427
25814,-40.5137337091285,4.56486,1786106.9034645,1.78456,27154.3,7.55,5.87,5.7643,0.76,3.0,4.0,,,,,,, ,0.0,0.0,0.0,21.703622695,0.0,7.35344214,0.0,9.845834072,61.09710109,0.0,15.491933384829668
25818,-40.5057992367402,3.01849,219228.1144911,1.44408,14529.8,17.45,5.9,5.7912,0.68,3.0,4.0,,,,,,, ,0.0,0.0,0.0,9.404693314,0.0,0.61620492,0.0,0.200681634,89.77842013,0.0,14.142135623730951
